-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
At. num | Sp. Name      | Ion Charge | El. Name   | Isoel. Seq. | Ground Shells (a) | Ground Level | Ionized Level     |        Ionization Energy (eV)        |   Uncertainty (eV)   | References
     13 | Al III        |         +2 | Aluminum   | Na          | [Ne].3s           | 2S<1/2>      | 2p6 1S<0>         |       28.447642                      |     0.000025         |    L4714,L277
     13 | Al IV         |         +3 | Aluminum   | Ne          | 1s2.2s2.2p6       | 1S0          | 2p5 2P*<3/2>      |      119.9924                        |     0.0019           |   L4714,L2829
     13 | Al V          |         +4 | Aluminum   | F           | 1s2.2s2.2p5       | 2P*<3/2>     | 2p4 3P<2>         |     [153.8252]                       |     0.0025           |   L4714,L3565
     13 | Al VI         |         +5 | Aluminum   | O           | 1s2.2s2.2p4       | 3P<2>        | 2p3 4S*<3/2>      |     [190.49]                         |     0.05             |         L7215
     13 | Al VII        |         +6 | Aluminum   | N           | 1s2.2s2.2p3       | 4S*<3/2>     | 2p2 3P<0>         |     [241.76]                         |     0.09             |         L7215
     13 | Al VIII       |         +7 | Aluminum   | C           | 1s2.2s2.2p2       | 3P0          | 2p 2P*<1/2>       |     [284.64]                         |     0.07             |        L11770
     13 | Al IX         |         +8 | Aluminum   | B           | 1s2.2s2.2p        | 2P*<1/2>     | 2s2 1S<0>         |     [330.21]                         |     0.04             |        L11770
     13 | Al X          |         +9 | Aluminum   | Be          | 1s2.2s2           | 1S0          | 2s 2S<1/2>        |     [398.65]                         |     0.06             |        L11770
     13 | Al XI         |        +10 | Aluminum   | Li          | 1s2.2s            | 2S<1/2>      | 1s2 1S<0>         |     (442.005)                        |     0.007            |     L16264c99
     13 | Al XII        |        +11 | Aluminum   | He          | 1s2               | 1S0          | 1s 2S<1/2>        |    (2085.97702)                      |     0.00020          |        L12128
     13 | Al XIII       |        +12 | Aluminum   | H           | 1s                | 2S<1/2>      |                   |    (2304.14007)                      |     0.00025          |         L7188
     14 | Si I          |          0 | Silicon    | Si          | [Ne].3s2.3p2      | 3P0          | 3p 2P*<1/2>       |        8.15168                       |     0.00003          |         L5815
     14 | Si II         |         +1 | Silicon    | Al          | [Ne].3s2.3p       | 2P*<1/2>     | 3s2 1S<0>         |       16.34585                       |     0.00004          |         L5815
     14 | Si III        |         +2 | Silicon    | Mg          | [Ne].3s2          | 1S0          | 3s 2S<1/2>        |       33.49300                       |     0.00009          |         L5815
     14 | Si IV         |         +3 | Silicon    | Na          | [Ne].3s           | 2S<1/2>      | 2p6 1S<0>         |       45.14179                       |     0.00007          |   L5815,L6098
     14 | Si V          |         +4 | Silicon    | Ne          | 1s2.2s2.2p6       | 1S0          | 2p5 2P*<3/2>      |      166.767                         |     0.003            |         L3934
     14 | Si VI         |         +5 | Silicon    | F           | 1s2.2s2.2p5       | 2P*<3/2>     | 2p4 3P<2>         |     [205.279]                        |     0.005            |          c192
     14 | Si VII        |         +6 | Silicon    | O           | 1s2.2s2.2p4       | 3P<2>        | 2p3 4S*<3/2>      |     [246.57]                         |     0.05             |          c193
     14 | Si VIII       |         +7 | Silicon    | N           | 1s2.2s2.2p3       | 4S*<3/2>     | 2p2 3P<0>         |     [303.59]                         |     0.05             |          c193
     14 | Si IX         |         +8 | Silicon    | C           | 1s2.2s2.2p2       | 3P0          | 2p 2P*<1/2>       |     [351.28]                         |     0.06             |          c193
